target,isp,os,latency,jitter,packet_loss,download,upload,date,hour
alibaba,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Darwin,38.07,0.072,0.0,10.02,10.12,21-04-2022,10:39
amazon,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Darwin,34.387,0.116,0.0,303.30,304.67,21-04-2022,10:40
azure,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Darwin,33.263,0.136,0.0,300.48,302.69,21-04-2022,10:40
google,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Darwin,34.959,0.195,0.0,576.70,579.27,21-04-2022,10:40
alibaba,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Darwin,38.069,0.046,0.0,10.12,10.23,21-04-2022,13:06
amazon,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Darwin,34.375,0.05,0.0,310.04,311.46,21-04-2022,13:06
azure,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Darwin,33.492,0.142,0.0,694.25,697.25,21-04-2022,13:06
google,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Darwin,35.701,0.073,0.0,551.57,554.22,21-04-2022,13:07
alibaba,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Linux,38.113,0.057,0.0,10.63,12.92,21-04-2022,13:25
amazon,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Linux,34.472,0.149,0.0,319.52,322.31,21-04-2022,13:26
azure,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Linux,33.448,0.071,0.0,666.75,669.96,21-04-2022,13:26
google,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Linux,35.745,0.14,0.0,549.29,552.13,21-04-2022,13:26
alibaba,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Darwin,38.097,0.061,0.0,9.72,9.82,21-04-2022,16:58
amazon,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Darwin,35.823,0.061,0.0,323.85,325.32,21-04-2022,16:58
azure,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Darwin,33.312,0.129,0.0,560.04,563.00,21-04-2022,16:59
google,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Darwin,36.613,1.704,0.0,554.54,557.12,21-04-2022,16:59
alibaba,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Darwin,38.121,0.022,0.0,9.96,10.06,25-04-2022,13:29
