target,isp,os,latency,jitter,packet_loss,download,upload,date,hour
amazon,"AS2860 NOS COMUNICACOES, S.A.",Windows,50.718,6.331,0.0,7.12,6.99,05-05-2022,18:26
azure,"AS2860 NOS COMUNICACOES, S.A.",Windows,44.539,8.436,0.0,8.59,8.45,05-05-2022,18:26
google,"AS2860 NOS COMUNICACOES, S.A.",Windows,52.518,7.163,0.0,6.81,6.71,05-05-2022,18:26
alibaba,"AS2860 NOS COMUNICACOES, S.A.",Windows,57.025,9.24,0.0,4.82,4.67,05-05-2022,18:36
amazon,"AS2860 NOS COMUNICACOES, S.A.",Windows,43.199,7.11,0.0,3.98,3.81,05-05-2022,18:36
alibaba,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Darwin,38.086,0.02,0.0,9.80,9.90,05-05-2022,18:36
azure,"AS2860 NOS COMUNICACOES, S.A.",Windows,41.443,9.565,0.0,14.67,14.54,05-05-2022,18:36
amazon,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Darwin,35.782,0.061,0.0,292.61,293.95,05-05-2022,18:37
google,"AS2860 NOS COMUNICACOES, S.A.",Windows,41.295,9.22,0.0,7.13,7.00,05-05-2022,18:37
azure,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Darwin,33.612,0.564,0.0,708.22,711.27,05-05-2022,18:37
google,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Darwin,35.762,0.177,0.0,596.13,598.95,05-05-2022,18:37
alibaba,AS12353 Vodafone Portugal - Communicacoes Pessoais S.A.,Windows,39.755,0.529,0.0,10.90,10.82,05-05-2022,20:03
amazon,AS12353 Vodafone Portugal - Communicacoes Pessoais S.A.,Windows,41.172,1.081,0.0,13.72,13.65,05-05-2022,20:03
azure,AS12353 Vodafone Portugal - Communicacoes Pessoais S.A.,Windows,37.495,0.556,0.0,14.15,14.10,05-05-2022,20:03
google,AS12353 Vodafone Portugal - Communicacoes Pessoais S.A.,Windows,38.607,0.514,0.0,13.84,13.68,05-05-2022,20:03
alibaba,"AS2860 NOS COMUNICACOES, S.A.",Windows,62.354,2.516,0.0,0.21,0.04,05-05-2022,20:30
amazon,"AS2860 NOS COMUNICACOES, S.A.",Windows,56.747,6.148,0.0,0.31,0.12,05-05-2022,20:30
azure,"AS2860 NOS COMUNICACOES, S.A.",Windows,50.269,1.601,0.0,2.51,2.46,05-05-2022,20:31
google,"AS2860 NOS COMUNICACOES, S.A.",Windows,52.457,2.913,0.0,27.87,27.87,05-05-2022,20:31
alibaba,"AS2860 NOS COMUNICACOES, S.A.",Windows,59.581,2.518,0.0,9.42,9.35,05-05-2022,20:40
amazon,"AS2860 NOS COMUNICACOES, S.A.",Windows,54.89,4.134,0.0,14.99,14.90,05-05-2022,20:40
azure,"AS2860 NOS COMUNICACOES, S.A.",Windows,49.663,1.78,0.0,15.51,15.37,05-05-2022,20:41
google,"AS2860 NOS COMUNICACOES, S.A.",Windows,54.219,2.303,0.0,19.48,19.39,05-05-2022,20:41
alibaba,AS3243 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Windows,37.057,9.95,0.0,10.78,10.68,05-05-2022,23:02
amazon,AS3243 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Windows,31.279,0.075,0.0,44.55,44.54,05-05-2022,23:02
azure,AS3243 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Windows,34.374,3.918,0.0,46.76,46.76,05-05-2022,23:02
google,AS3243 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Windows,34.289,4.141,0.0,42.84,42.84,05-05-2022,23:03
alibaba,AS3243 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Windows,40.837,2.237,0.0,10.89,10.73,05-05-2022,23:08
amazon,AS3243 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Windows,49.745,12.057,0.0,45.85,45.85,05-05-2022,23:08
azure,AS3243 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Windows,50.041,7.827,0.0,36.77,36.77,05-05-2022,23:09
google,AS3243 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Windows,47.3,15.679,0.0,42.26,42.26,05-05-2022,23:09
alibaba,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Darwin,38.065,0.08,0.0,9.86,10.01,05-05-2022,23:09
amazon,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Darwin,36.26,0.184,0.0,248.10,249.49,05-05-2022,23:10
azure,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Darwin,33.334,0.132,0.0,556.47,558.91,05-05-2022,23:10
google,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Darwin,35.765,0.092,0.0,581.16,583.91,05-05-2022,23:10
alibaba,"AS2860 NOS COMUNICACOES, S.A.",Windows,58.452,1.893,0.0,10.69,10.57,05-05-2022,23:27
amazon,"AS2860 NOS COMUNICACOES, S.A.",Windows,53.851,2.512,0.0,29.75,29.75,05-05-2022,23:28
azure,"AS2860 NOS COMUNICACOES, S.A.",Windows,50.253,3.29,0.0,31.64,31.64,05-05-2022,23:28
google,"AS2860 NOS COMUNICACOES, S.A.",Windows,54.034,3.155,0.0,29.94,29.94,05-05-2022,23:28
alibaba,"AS2860 NOS COMUNICACOES, S.A.",Windows,57.107,5.095,0.0,10.69,10.64,06-05-2022,08:31
amazon,"AS2860 NOS COMUNICACOES, S.A.",Windows,53.094,5.795,0.0,30.50,30.50,06-05-2022,08:31
azure,"AS2860 NOS COMUNICACOES, S.A.",Windows,51.833,10.25,0.0,32.04,32.04,06-05-2022,08:31
google,"AS2860 NOS COMUNICACOES, S.A.",Windows,54.148,7.594,0.0,30.69,30.67,06-05-2022,08:32
alibaba,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Linux,39.686,1.031,0.0,10.70,12.59,06-05-2022,09:56
amazon,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Linux,38.323,1.342,0.0,48.44,51.06,06-05-2022,09:56
azure,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Linux,36.926,1.953,0.0,47.29,48.45,06-05-2022,09:56
google,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Linux,38.635,1.976,0.0,48.13,49.18,06-05-2022,09:56
alibaba,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Linux,39.702,0.947,0.0,10.70,12.60,06-05-2022,10:00
amazon,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Linux,38.149,1.961,0.0,48.32,50.95,06-05-2022,10:01
azure,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Linux,36.887,2.804,0.0,44.65,45.62,06-05-2022,10:01
google,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Linux,40.375,0.617,0.0,48.39,49.49,06-05-2022,10:01
alibaba,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Linux,39.738,1.661,0.0,10.69,12.64,06-05-2022,12:00
amazon,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Linux,40.133,3.97,0.0,48.55,51.06,06-05-2022,12:00
azure,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Linux,36.724,2.098,0.0,46.96,48.14,06-05-2022,12:00
google,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Linux,39.878,0.427,0.0,47.10,48.17,06-05-2022,12:01
alibaba,"AS2860 NOS COMUNICACOES, S.A.",Windows,63.564,8.411,0.0,10.79,10.69,06-05-2022,14:45
amazon,"AS2860 NOS COMUNICACOES, S.A.",Windows,55.852,2.754,0.0,29.88,29.88,06-05-2022,14:45
azure,"AS2860 NOS COMUNICACOES, S.A.",Windows,52.511,23.696,0.0,32.05,32.05,06-05-2022,14:45
google,"AS2860 NOS COMUNICACOES, S.A.",Windows,54.105,2.813,0.0,29.87,29.87,06-05-2022,14:45
alibaba,"AS2860 NOS COMUNICACOES, S.A.",Windows,57.452,2.716,0.0,10.69,10.55,06-05-2022,14:46
amazon,"AS2860 NOS COMUNICACOES, S.A.",Windows,56.004,3.493,0.0,10.27,10.13,06-05-2022,14:47
azure,"AS2860 NOS COMUNICACOES, S.A.",Windows,51.488,5.536,0.4,15.61,15.61,06-05-2022,14:47
google,"AS2860 NOS COMUNICACOES, S.A.",Windows,55.305,2.975,0.0,14.99,14.99,06-05-2022,14:47
alibaba,"AS2860 NOS COMUNICACOES, S.A.",Windows,59.65,5.959,0.0,10.58,10.51,06-05-2022,14:51
amazon,"AS2860 NOS COMUNICACOES, S.A.",Windows,57.385,4.459,0.0,14.88,14.87,06-05-2022,14:52
azure,"AS2860 NOS COMUNICACOES, S.A.",Windows,50.438,4.216,0.0,14.78,14.78,06-05-2022,14:52
google,"AS2860 NOS COMUNICACOES, S.A.",Windows,50.824,2.069,0.0,15.49,15.49,06-05-2022,14:52
alibaba,"AS2860 NOS COMUNICACOES, S.A.",Windows,60.592,4.591,0.0,6.39,6.25,06-05-2022,15:46
amazon,"AS2860 NOS COMUNICACOES, S.A.",Windows,54.318,4.235,0.0,9.22,9.14,06-05-2022,15:47
azure,"AS2860 NOS COMUNICACOES, S.A.",Windows,52.341,3.83,0.0,11.22,11.12,06-05-2022,15:47
google,"AS2860 NOS COMUNICACOES, S.A.",Windows,52.592,0.843,0.0,9.54,9.36,06-05-2022,15:47
alibaba,"AS2860 NOS COMUNICACOES, S.A.",Windows,60.997,3.238,0.0,9.42,9.29,06-05-2022,15:54
amazon,"AS2860 NOS COMUNICACOES, S.A.",Windows,65.806,16.991,0.0,28.04,28.01,06-05-2022,15:55
azure,"AS2860 NOS COMUNICACOES, S.A.",Windows,50.194,4.511,0.0,29.54,29.53,06-05-2022,15:55
google,"AS2860 NOS COMUNICACOES, S.A.",Windows,54.555,4.799,0.0,28.17,28.17,06-05-2022,15:55
alibaba,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Linux,39.572,1.748,0.0,10.58,11.93,06-05-2022,16:00
amazon,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Linux,36.373,0.294,0.0,48.22,50.01,06-05-2022,16:00
azure,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Linux,35.999,0.776,0.0,47.68,48.57,06-05-2022,16:00
google,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Linux,40.5,1.298,0.0,47.39,48.25,06-05-2022,16:01
alibaba,"AS2860 NOS COMUNICACOES, S.A.",Windows,58.795,2.109,0.0,5.97,5.81,06-05-2022,16:33
amazon,"AS2860 NOS COMUNICACOES, S.A.",Windows,53.184,1.216,0.0,16.35,16.23,06-05-2022,16:33
azure,"AS2860 NOS COMUNICACOES, S.A.",Windows,49.747,3.324,0.0,15.10,15.00,06-05-2022,16:33
google,"AS2860 NOS COMUNICACOES, S.A.",Windows,53.383,2.75,0.0,13.30,13.16,06-05-2022,16:33
alibaba,"AS2860 NOS COMUNICACOES, S.A.",Windows,62.813,3.774,0.0,9.22,9.10,06-05-2022,17:14
amazon,"AS2860 NOS COMUNICACOES, S.A.",Windows,52.393,2.273,0.0,18.54,18.37,06-05-2022,17:14
azure,"AS2860 NOS COMUNICACOES, S.A.",Windows,48.708,1.586,0.0,21.99,21.94,06-05-2022,17:14
google,"AS2860 NOS COMUNICACOES, S.A.",Windows,51.395,2.951,0.0,17.71,17.62,06-05-2022,17:14
alibaba,"AS2860 NOS COMUNICACOES, S.A.",Windows,60.176,5.517,0.0,9.59,9.52,06-05-2022,19:24
amazon,"AS2860 NOS COMUNICACOES, S.A.",Windows,52.74,2.853,0.0,28.19,28.18,06-05-2022,19:24
azure,"AS2860 NOS COMUNICACOES, S.A.",Windows,53.367,4.316,0.0,29.89,29.89,06-05-2022,19:25
google,"AS2860 NOS COMUNICACOES, S.A.",Windows,49.994,3.902,0.0,25.90,25.89,06-05-2022,19:25
alibaba,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Linux,40.146,0.172,0.0,10.69,12.53,06-05-2022,20:00
amazon,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Linux,38.66,0.793,0.0,48.71,50.96,06-05-2022,20:00
azure,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Linux,36.861,0.788,0.0,48.61,49.38,06-05-2022,20:00
google,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Linux,41.97,1.372,0.0,45.84,46.56,06-05-2022,20:01
alibaba,"AS2860 NOS COMUNICACOES, S.A.",Windows,58.603,2.258,0.0,10.04,9.90,06-05-2022,21:58
amazon,"AS2860 NOS COMUNICACOES, S.A.",Windows,53.551,3.851,0.0,27.50,27.50,06-05-2022,21:58
azure,"AS2860 NOS COMUNICACOES, S.A.",Windows,48.803,2.757,0.0,31.64,31.64,06-05-2022,21:59
google,"AS2860 NOS COMUNICACOES, S.A.",Windows,53.195,5.757,0.0,30.07,30.05,06-05-2022,21:59
alibaba,"AS2860 NOS COMUNICACOES, S.A.",Windows,57.597,1.5,0.0,10.68,10.59,06-05-2022,22:02
amazon,"AS2860 NOS COMUNICACOES, S.A.",Windows,56.868,5.902,0.0,29.21,29.19,06-05-2022,22:02
azure,"AS2860 NOS COMUNICACOES, S.A.",Windows,49.411,2.291,0.0,31.22,31.22,06-05-2022,22:02
google,"AS2860 NOS COMUNICACOES, S.A.",Windows,51.982,2.246,0.0,29.36,29.34,06-05-2022,22:03
alibaba,"AS2860 NOS COMUNICACOES, S.A.",Windows,61.36,5.405,0.0,10.80,10.73,06-05-2022,23:28
amazon,"AS2860 NOS COMUNICACOES, S.A.",Windows,53.792,0.783,0.0,27.45,27.45,06-05-2022,23:28
azure,"AS2860 NOS COMUNICACOES, S.A.",Windows,51.206,1.493,0.0,31.95,31.95,06-05-2022,23:28
google,"AS2860 NOS COMUNICACOES, S.A.",Windows,53.8,4.005,0.0,28.27,28.27,06-05-2022,23:29
alibaba,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Linux,39.832,1.167,0.0,10.67,13.08,07-05-2022,00:00
amazon,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Linux,38.522,1.672,0.0,49.14,51.06,07-05-2022,00:00
azure,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Linux,36.858,0.481,0.0,42.24,43.38,07-05-2022,00:00
google,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Linux,41.46,1.171,0.0,48.70,49.67,07-05-2022,00:01
alibaba,"AS2860 NOS COMUNICACOES, S.A.",Windows,57.594,2.236,0.0,10.17,10.11,07-05-2022,00:29
amazon,"AS2860 NOS COMUNICACOES, S.A.",Windows,55.024,1.938,0.0,29.25,29.24,07-05-2022,00:29
azure,"AS2860 NOS COMUNICACOES, S.A.",Windows,48.391,2.501,0.0,31.65,31.65,07-05-2022,00:30
google,"AS2860 NOS COMUNICACOES, S.A.",Windows,53.198,2.253,0.0,29.03,29.03,07-05-2022,00:30
alibaba,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Linux,39.888,0.57,0.0,10.70,12.48,07-05-2022,04:00
amazon,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Linux,39.312,1.368,0.0,48.19,50.55,07-05-2022,04:00
azure,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Linux,37.081,0.687,0.0,48.71,49.59,07-05-2022,04:00
google,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Linux,41.107,0.575,0.0,48.65,49.86,07-05-2022,04:01
alibaba,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Linux,40.195,0.223,0.0,10.70,12.43,07-05-2022,08:00
amazon,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Linux,38.889,0.658,0.0,48.81,50.60,07-05-2022,08:00
azure,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Linux,36.209,1.172,0.0,48.56,49.85,07-05-2022,08:00
google,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Linux,41.455,2.149,0.0,47.95,49.10,07-05-2022,08:01
alibaba,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Darwin,38.135,0.192,0.0,8.55,8.65,07-05-2022,08:47
amazon,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Darwin,36.14,0.301,0.0,91.94,93.37,07-05-2022,08:47
azure,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Darwin,33.625,0.383,0.0,92.12,95.22,07-05-2022,08:47
google,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Darwin,35.256,0.269,0.0,91.68,94.41,07-05-2022,08:47
alibaba,"AS2860 NOS COMUNICACOES, S.A.",Windows,58.323,1.747,0.0,10.69,10.61,07-05-2022,09:10
amazon,"AS2860 NOS COMUNICACOES, S.A.",Windows,55.078,2.59,0.0,28.81,28.80,07-05-2022,09:11
azure,"AS2860 NOS COMUNICACOES, S.A.",Windows,52.324,5.289,0.0,30.82,30.81,07-05-2022,09:11
google,"AS2860 NOS COMUNICACOES, S.A.",Windows,53.954,2.409,0.0,29.11,29.11,07-05-2022,09:11
alibaba,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Linux,39.562,0.938,0.0,10.77,12.54,07-05-2022,12:00
amazon,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Linux,38.596,0.656,0.0,48.61,50.97,07-05-2022,12:00
azure,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Linux,36.689,1.006,0.0,48.65,49.54,07-05-2022,12:00
google,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Linux,41.168,1.031,0.0,47.51,48.55,07-05-2022,12:01
alibaba,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Linux,40.295,0.112,0.0,10.67,12.33,07-05-2022,16:00
amazon,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Linux,39.144,0.917,0.0,48.74,50.59,07-05-2022,16:00
azure,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Linux,36.768,0.813,0.0,49.07,49.82,07-05-2022,16:00
google,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Linux,41.231,0.668,0.0,47.23,48.24,07-05-2022,16:01
alibaba,"AS2860 NOS COMUNICACOES, S.A.",Windows,61.771,3.519,0.0,9.31,9.15,07-05-2022,17:14
amazon,"AS2860 NOS COMUNICACOES, S.A.",Windows,70.078,15.83,0.0,22.64,22.64,07-05-2022,17:14
azure,"AS2860 NOS COMUNICACOES, S.A.",Windows,61.572,9.147,0.0,32.71,32.71,07-05-2022,17:14
google,"AS2860 NOS COMUNICACOES, S.A.",Windows,51.677,2.761,0.0,30.29,30.28,07-05-2022,17:14
alibaba,"AS2860 NOS COMUNICACOES, S.A.",Windows,60.19,2.001,0.0,8.91,8.88,07-05-2022,18:42
amazon,"AS2860 NOS COMUNICACOES, S.A.",Windows,83.59,19.519,0.0,20.13,20.13,07-05-2022,18:43
azure,"AS2860 NOS COMUNICACOES, S.A.",Windows,69.241,16.217,0.0,26.29,26.29,07-05-2022,18:43
google,"AS2860 NOS COMUNICACOES, S.A.",Windows,61.26,9.922,0.0,21.28,21.28,07-05-2022,18:44
alibaba,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Linux,39.387,1.567,0.0,10.73,12.48,07-05-2022,20:00
amazon,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Linux,38.611,2.086,0.0,44.47,46.44,07-05-2022,20:00
azure,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Linux,36.173,1.201,0.0,48.50,49.44,07-05-2022,20:00
google,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Linux,41.12,1.109,0.0,47.09,48.27,07-05-2022,20:01
alibaba,"AS2860 NOS COMUNICACOES, S.A.",Windows,55.232,1.26,0.0,9.95,9.85,07-05-2022,21:03
amazon,"AS2860 NOS COMUNICACOES, S.A.",Windows,48.279,4.103,0.0,30.20,30.20,07-05-2022,21:03
azure,"AS2860 NOS COMUNICACOES, S.A.",Windows,47.199,2.074,0.0,32.28,32.28,07-05-2022,21:03
google,"AS2860 NOS COMUNICACOES, S.A.",Windows,52.71,11.228,0.0,30.09,30.09,07-05-2022,21:04
alibaba,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Linux,40.404,0.474,0.0,10.71,12.12,08-05-2022,00:00
amazon,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Linux,37.786,0.882,0.0,49.19,51.32,08-05-2022,00:00
azure,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Linux,37.124,0.641,0.0,48.90,49.77,08-05-2022,00:00
google,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Linux,41.249,0.431,0.0,47.64,48.79,08-05-2022,00:01
alibaba,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Linux,40.234,0.362,0.0,10.65,12.27,08-05-2022,04:00
amazon,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Linux,39.547,0.651,0.0,48.71,50.66,08-05-2022,04:00
azure,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Linux,37.262,0.917,0.0,44.79,45.96,08-05-2022,04:00
google,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Linux,42.239,0.992,0.0,47.71,48.95,08-05-2022,04:01
alibaba,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Linux,40.199,0.228,0.0,10.68,12.00,08-05-2022,08:00
amazon,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Linux,40.688,4.357,0.0,48.80,51.11,08-05-2022,08:00
azure,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Linux,36.949,0.793,0.0,45.77,46.66,08-05-2022,08:00
google,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Linux,41.751,0.786,0.0,47.51,48.76,08-05-2022,08:01
alibaba,AS12353 Vodafone Portugal - Communicacoes Pessoais S.A.,Linux,47.28,1.13,0.0,10.09,10.50,08-05-2022,10:46
amazon,AS12353 Vodafone Portugal - Communicacoes Pessoais S.A.,Linux,47.597,0.524,0.0,10.73,11.42,08-05-2022,10:46
azure,AS12353 Vodafone Portugal - Communicacoes Pessoais S.A.,Linux,39.747,0.204,0.0,13.02,13.67,08-05-2022,10:46
google,AS12353 Vodafone Portugal - Communicacoes Pessoais S.A.,Linux,45.599,0.496,0.0,11.23,11.69,08-05-2022,10:47
alibaba,AS12353 Vodafone Portugal - Communicacoes Pessoais S.A.,Linux,47.718,1.165,0.0,6.19,6.82,08-05-2022,10:48
amazon,AS12353 Vodafone Portugal - Communicacoes Pessoais S.A.,Linux,47.389,0.881,0.0,10.83,11.44,08-05-2022,10:48
azure,AS12353 Vodafone Portugal - Communicacoes Pessoais S.A.,Linux,39.725,0.857,0.0,13.02,13.67,08-05-2022,10:49
google,AS12353 Vodafone Portugal - Communicacoes Pessoais S.A.,Linux,45.411,0.582,0.0,11.33,11.93,08-05-2022,10:49
alibaba,AS12353 Vodafone Portugal - Communicacoes Pessoais S.A.,Linux,47.042,0.264,0.0,10.06,10.72,08-05-2022,10:53
amazon,AS12353 Vodafone Portugal - Communicacoes Pessoais S.A.,Linux,47.324,0.296,0.0,10.84,11.50,08-05-2022,10:54
azure,AS12353 Vodafone Portugal - Communicacoes Pessoais S.A.,Linux,40.68,0.878,0.0,12.70,13.26,08-05-2022,10:54
google,AS12353 Vodafone Portugal - Communicacoes Pessoais S.A.,Linux,45.838,0.49,0.0,11.28,11.85,08-05-2022,10:54
alibaba,AS12353 Vodafone Portugal - Communicacoes Pessoais S.A.,Linux,47.003,0.406,0.0,9.94,10.57,08-05-2022,11:01
amazon,AS12353 Vodafone Portugal - Communicacoes Pessoais S.A.,Linux,47.697,0.533,0.0,10.72,11.23,08-05-2022,11:02
azure,AS12353 Vodafone Portugal - Communicacoes Pessoais S.A.,Linux,39.852,0.298,0.0,12.93,13.67,08-05-2022,11:02
google,AS12353 Vodafone Portugal - Communicacoes Pessoais S.A.,Linux,45.944,0.334,0.0,11.33,12.00,08-05-2022,11:02
alibaba,AS12353 Vodafone Portugal - Communicacoes Pessoais S.A.,Linux,47.093,0.617,0.0,9.98,10.57,08-05-2022,11:03
amazon,AS12353 Vodafone Portugal - Communicacoes Pessoais S.A.,Linux,47.733,0.603,0.0,10.69,11.20,08-05-2022,11:03
azure,AS12353 Vodafone Portugal - Communicacoes Pessoais S.A.,Linux,40.164,0.855,0.0,13.01,13.60,08-05-2022,11:04
google,AS12353 Vodafone Portugal - Communicacoes Pessoais S.A.,Linux,46.163,1.803,0.0,11.23,11.72,08-05-2022,11:04
alibaba,AS12353 Vodafone Portugal - Communicacoes Pessoais S.A.,Linux,47.07,0.592,0.0,9.93,10.72,08-05-2022,11:04
amazon,AS12353 Vodafone Portugal - Communicacoes Pessoais S.A.,Linux,47.451,0.279,0.0,10.53,11.23,08-05-2022,11:05
azure,AS12353 Vodafone Portugal - Communicacoes Pessoais S.A.,Linux,39.568,0.277,0.0,13.37,14.08,08-05-2022,11:05
google,AS12353 Vodafone Portugal - Communicacoes Pessoais S.A.,Linux,45.658,1.069,0.0,11.33,11.97,08-05-2022,11:05
alibaba,AS12353 Vodafone Portugal - Communicacoes Pessoais S.A.,Linux,46.764,0.128,0.0,10.05,10.72,08-05-2022,11:06
amazon,AS12353 Vodafone Portugal - Communicacoes Pessoais S.A.,Linux,47.596,1.087,0.0,10.68,11.18,08-05-2022,11:06
azure,AS12353 Vodafone Portugal - Communicacoes Pessoais S.A.,Linux,39.833,0.492,0.0,12.93,13.57,08-05-2022,11:06
google,AS12353 Vodafone Portugal - Communicacoes Pessoais S.A.,Linux,45.578,0.251,0.0,11.27,11.92,08-05-2022,11:06
alibaba,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Darwin,38.272,0.234,0.0,8.53,8.63,08-05-2022,11:11
amazon,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Darwin,37.159,0.299,0.0,91.89,93.27,08-05-2022,11:11
azure,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Darwin,33.474,0.196,0.0,92.03,95.14,08-05-2022,11:12
google,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Darwin,38.286,2.911,0.0,91.79,94.51,08-05-2022,11:12
alibaba,"AS2860 NOS COMUNICACOES, S.A.",Windows,61.29,8.313,0.0,10.69,10.54,08-05-2022,11:14
